,Close,RSI,BBBuy,BBSell,MACDLine,MACDSignal,SMA5,SMA15,SMA30,SMA40,SMA100,Decision
585,5.57,42.4874157,5.240607391,6.0688787,-0.07819802,-0.06329833,5.6204,5.696133333,5.812,5.7775,5.9523,Yes
586,5.678,51.53297033,5.23573376,6.069809147,-0.070134373,-0.064665539,5.6336,5.677333333,5.815933333,5.77785,5.95278,Yes
587,5.484,38.75803229,5.223552943,6.069506948,-0.078493233,-0.067431078,5.5776,5.652266667,5.8102,5.7715,5.95186,Yes
588,5.504,40.5311526,5.212581928,6.061612536,-0.082552245,-0.070455311,5.5568,5.6272,5.797133333,5.76705,5.95108,Yes
589,5.476,38.70100492,5.20180034,6.042311074,-0.087025235,-0.073769296,5.5424,5.607066667,5.777066667,5.7619,5.9474,Yes
590,5.626,52.19281866,5.196057919,5.97666919,-0.077572162,-0.074529869,5.5536,5.592133333,5.747666667,5.75995,5.9458,Yes
591,5.85,65.4437662,5.196628789,5.942472873,-0.051412949,-0.069906485,5.588,5.603866667,5.733733333,5.7655,5.94414,Yes
592,5.784,59.75078059,5.195714945,5.908989878,-0.035596893,-0.063044567,5.648,5.6108,5.719533333,5.7704,5.94374,Yes
593,6.3,77.55776693,5.195749846,5.923637095,0.018362659,-0.046763122,5.8072,5.6532,5.723533333,5.78515,5.94742,Yes
594,6.23,72.48247415,5.203064214,5.945339846,0.054845354,-0.026441426,5.958,5.7,5.731066667,5.79415,5.95018,Yes
595,6.308,74.63987363,5.224075563,5.964123552,0.089025867,-0.003347968,6.0944,5.756133333,5.736933333,5.815,5.95448,Yes
596,6.262,70.81968176,5.274850821,6.003780987,0.111121415,0.019545909,6.1768,5.799466667,5.761266667,5.83255,5.95728,Yes
597,6.064,56.3393036,5.293793085,6.023493441,0.11137153,0.037911033,6.2328,5.819466667,5.7798,5.84275,5.95424,Yes
598,6.214,63.02187591,5.300130194,6.052248768,0.122264109,0.054781648,6.2156,5.859866667,5.797,5.8507,5.9522,Yes
599,6.322,67.23446895,5.304858783,6.084529869,0.138020242,0.071429367,6.234,5.911466667,5.812533333,5.8568,5.94786,Yes
600,6.276,63.63230754,5.307337513,6.111781024,0.145122395,0.086167973,6.2276,5.958533333,5.827333333,5.851,5.94624,Yes
601,6.164,55.22740289,5.306837065,6.124056971,0.140098471,0.096954072,6.208,5.990933333,5.834133333,5.8484,5.9403,Yes
602,6.368,65.04002662,5.300121257,6.156430595,0.150839288,0.107731116,6.2688,6.049866667,5.851066667,5.85235,5.93776,Yes
603,6.584,72.48836817,5.286778213,6.207061401,0.174766262,0.121138145,6.3428,6.121866667,5.874533333,5.86245,5.94038,Yes
604,6.6,72.98575507,5.278156303,6.258383791,0.192797181,0.135469952,6.3984,6.1968,5.901933333,5.87735,5.94246,Yes
605,6.494,64.03737925,5.269859988,6.295140465,0.19627101,0.147630164,6.442,6.254666667,5.9234,5.8864,5.94458,Yes
606,6.426,58.65515108,5.275821415,6.327820743,0.191331463,0.156370423,6.4944,6.293066667,5.948466667,5.90875,5.94626,Yes
607,6.454,60.25970939,5.281279592,6.360738135,0.18751465,0.162599269,6.5116,6.337733333,5.974266667,5.9324,5.95,Yes
608,6.43,58.00845091,5.300569265,6.390213234,0.180472821,0.166173979,6.4808,6.3464,5.9998,5.9507,5.95298,Yes
609,6.646,69.83955689,5.315652479,6.433970932,0.190129817,0.170965147,6.49,6.374133333,6.037066667,5.97045,5.95698,Yes
610,6.738,73.54359274,5.31537336,6.481015645,0.202868149,0.177345747,6.5388,6.4028,6.079466667,5.9931,5.96238,Yes
611,6.764,74.57317695,5.307735722,6.527869572,0.21261051,0.1843987,6.6064,6.436266667,6.117866667,6.0132,5.96704,Yes
612,6.924,80.12595886,5.286417227,6.585596167,0.230584036,0.193635767,6.7004,6.4936,6.156533333,6.0398,5.97374,Yes
613,6.78,65.18004512,5.277054842,6.62629259,0.230550939,0.201018801,6.7704,6.531333333,6.1956,6.0623,5.97852,Yes
614,6.742,61.64022386,5.269141718,6.659527701,0.224866309,0.205788303,6.7896,6.559333333,6.2354,6.0864,5.98054,Yes
615,6.78,63.92587167,5.259254537,6.692128893,0.220881299,0.208806902,6.798,6.592933333,6.275733333,6.10965,5.97984,Yes
616,6.834,67.16906917,5.246998277,6.727037381,0.219549667,0.210955455,6.812,6.6376,6.314266667,6.13865,5.97626,Yes
617,6.914,71.5845245,5.235784159,6.758315467,0.222386141,0.213241592,6.81,6.674,6.361933333,6.1695,5.9787,Yes
618,7.056,77.77450063,5.220216549,6.795720444,0.23340177,0.217273628,6.8652,6.705466667,6.413666667,6.2043,5.98496,Yes
619,7.052,77.22167054,5.203934722,6.823243919,0.239053311,0.221629564,6.9272,6.7356,6.4662,6.2424,5.99094,Yes
620,6.722,45.85184953,5.200547347,6.826454812,0.214432116,0.220190075,6.9156,6.7508,6.502733333,6.2738,5.99458,Yes
621,6.762,48.79349816,5.198535446,6.836300035,0.195889218,0.215329904,6.9012,6.7732,6.533133333,6.30255,6.00088,Yes
622,6.88,56.85954434,5.195932972,6.845128501,0.188542057,0.209972334,6.8944,6.8016,6.569666667,6.33045,6.01,Yes
623,6.918,59.269996,5.189621119,6.867891225,0.183668445,0.204711556,6.8668,6.834133333,6.590266667,6.3632,6.02128,Yes
624,6.922,59.54757173,5.181941235,6.888805937,0.178076089,0.199384463,6.8408,6.852533333,6.613333333,6.39755,6.03424,Yes
625,6.886,55.57103659,5.179941592,6.906250458,0.168793462,0.193266263,6.8736,6.8624,6.6326,6.43045,6.04408,Yes
626,6.8,46.85126972,5.187457291,6.91683939,0.152736777,0.185160365,6.8812,6.8648,6.650533333,6.4585,6.05738,Yes
627,6.856,52.51204843,5.192163951,6.922212349,0.142883399,0.176704972,6.8764,6.860266667,6.676933333,6.4928,6.0711,Yes
628,6.718,40.20180403,5.202066452,6.923498856,0.122526669,0.165869312,6.8364,6.856133333,6.693733333,6.52315,6.08578,Yes
629,6.738,42.48168195,5.212325108,6.926823721,0.10677679,0.154050807,6.7996,6.855866667,6.7076,6.5547,6.10096,Yes
630,6.644,35.1361629,5.223634658,6.924400565,0.085721736,0.140384993,6.7512,6.8468,6.719866667,6.58015,6.11286,Yes
631,6.774,49.28496836,5.236660772,6.916888313,0.078619096,0.128031813,6.746,6.8428,6.7402,6.60325,6.12406,Yes
632,7.072,67.96999841,5.24562476,6.936061627,0.095930485,0.121611548,6.7892,6.853333333,6.763666667,6.63545,6.13428,Yes
633,6.954,58.08389081,5.254088033,6.948335332,0.098987208,0.11708668,6.8364,6.846533333,6.776,6.6518,6.14564,Yes
634,6.88,52.49736185,5.259640033,6.955451985,0.094350884,0.112539521,6.8648,6.835066667,6.785333333,6.66805,6.15562,Yes
635,6.868,51.55917651,5.281531065,6.959613349,0.088685948,0.107768806,6.9096,6.8448,6.7978,6.68205,6.16442,Yes
636,6.736,41.94033925,5.302169297,6.955089956,0.072707026,0.10075645,6.902,6.843066667,6.808133333,6.6939,6.16944,Yes
637,6.728,41.3943048,5.319499629,6.949729978,0.058721182,0.092349396,6.8332,6.832933333,6.817266667,6.7105,6.17788,Yes
638,6.706,39.73457951,5.328887396,6.939936408,0.045339438,0.082947405,6.7836,6.8188,6.826466667,6.7228,6.18614,Yes
639,6.582,31.44408598,5.334235755,6.941710314,0.02444674,0.071247272,6.724,6.796133333,6.824333333,6.7293,6.19136,Yes
640,6.652,39.72657349,5.334099115,6.941926821,0.013383267,0.059674471,6.6808,6.780533333,6.821466667,6.7387,6.19786,Yes
641,6.78,52.07782814,5.335080781,6.94223976,0.014773614,0.050694299,6.6896,6.7792,6.822,6.7541,6.20664,Yes
642,6.82,55.40922967,5.336743042,6.937272188,0.01888544,0.044332528,6.708,6.7768,6.818533333,6.7654,6.21662,Yes
643,6.876,59.95599764,5.338528821,6.940684005,0.026358974,0.040737817,6.742,6.787333333,6.821733333,6.7727,6.22548,Yes
644,6.904,62.20411573,5.344367966,6.946018918,0.034147538,0.039419761,6.8064,6.7984,6.827133333,6.7803,6.23306,Yes
645,7.038,71.22407368,5.345343897,6.960103462,0.050550002,0.041645809,6.8836,6.824666667,6.835733333,6.7939,6.24444,Yes
646,7.2,78.47083795,5.365027503,6.988439545,0.075747944,0.048466236,6.9676,6.853066667,6.847933333,6.81325,6.2598,Yes
647,7.398,84.15921607,5.381809465,7.035595077,0.110421569,0.060857303,7.0832,6.8748,6.864066667,6.83685,6.2764,Yes
648,7.396,83.89798522,5.391505007,7.069042385,0.136169605,0.075919763,7.1872,6.904266667,6.8754,6.861,6.29354,Yes
