,Closing,RSI,MACD,BB,SMA1,SMA2,Decision
274,5.58,Buy,Sell,Sell,Buy,Sell,No
275,5.513999999999999,Buy,Sell,Sell,Buy,Sell,No
276,5.553999999999999,Hold,Sell,Sell,Buy,Sell,No
277,5.58,Hold,Sell,Sell,Buy,Sell,No
278,5.7139999999999995,Hold,Sell,Sell,Buy,Sell,No
279,5.702000000000001,Hold,Sell,Sell,Buy,Sell,No
280,5.746,Hold,Sell,Sell,Buy,Sell,No
281,5.712000000000001,Hold,Sell,Sell,Buy,Sell,No
282,5.6160000000000005,Hold,Sell,Sell,Buy,Sell,No
283,5.542000000000001,Hold,Sell,Sell,Buy,Sell,No
284,5.4239999999999995,Buy,Sell,Sell,Buy,Sell,No
285,5.382000000000001,Buy,Sell,Sell,Buy,Sell,No
286,5.45,Hold,Sell,Sell,Buy,Sell,No
287,5.524,Hold,Sell,Sell,Buy,Sell,No
288,5.646,Hold,Buy,Sell,Buy,Sell,No
289,5.65,Hold,Buy,Sell,Buy,Sell,No
290,4.558,Buy,Sell,Buy,Buy,Sell,No
291,5.32,Hold,Sell,Sell,Buy,Sell,Yes
292,5.362,Hold,Sell,Sell,Buy,Sell,Yes
293,5.352,Hold,Sell,Sell,Buy,Sell,Yes
294,5.32,Hold,Buy,Sell,Sell,Sell,Yes
295,5.354,Hold,Buy,Sell,Sell,Sell,Yes
296,5.484,Hold,Buy,Sell,Sell,Sell,Yes
297,5.593999999999999,Hold,Buy,Sell,Sell,Sell,Yes
298,5.787999999999999,Hold,Buy,Hold,Sell,Sell,Yes
299,5.8660000000000005,Hold,Buy,Hold,Sell,Sell,Yes
300,5.914,Hold,Buy,Hold,Sell,Sell,Yes
301,5.814,Hold,Buy,Hold,Sell,Sell,Yes
302,5.916,Hold,Buy,Hold,Sell,Sell,Yes
303,6.05,Hold,Buy,Hold,Sell,Sell,Yes
304,6.23,Sell,Buy,Hold,Sell,Sell,Yes
305,6.36,Sell,Buy,Hold,Sell,Buy,Yes
306,6.32,Sell,Buy,Hold,Sell,Buy,Yes
307,6.386,Sell,Buy,Hold,Sell,Buy,Yes
308,6.516,Sell,Buy,Hold,Sell,Buy,Yes
309,6.22,Hold,Buy,Hold,Sell,Buy,Yes
310,6.297999999999999,Hold,Buy,Hold,Sell,Buy,Yes
311,6.6339999999999995,Hold,Buy,Hold,Sell,Buy,Yes
312,6.72,Hold,Buy,Hold,Sell,Buy,Yes
313,6.836,Sell,Buy,Hold,Sell,Buy,Yes
